fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,session_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
1,Left,79579.085458,70,79579.07271000001,141.21099999465514,1.4708729858543106,0.47554679214954376,0.20604235678911204,0.4899578094482422,0.1788139939308166,True,2,Left|2,NA1:NA1_baseline:002,1.0,79579.118969,Mid|3,Left|2 -> Mid|3,0.033511000001453795,Left,Mid
1,Mid,79579.118969,71,79579.07271000001,141.21099999465514,1.4708729858543106,0.9058120846748352,0.0576924420893192,0.9058120846748352,0.0576924420893192,True,3,Mid|3,NA1:NA1_baseline:002,2.0,79579.78919,Left|1,Mid|3 -> Left|1,0.6702209999930346,Mid,Left
2,Left,79579.78919,91,79579.7061425,92.79599999717902,1.467390840518796,0.3017326593399048,0.2228730767965316,0.3017326593399048,0.2228730767965316,True,1,Left|1,NA1:NA1_baseline:002,3.0,79580.191322,Right|7,Left|1 -> Right|7,0.4021320000028936,Left,Right
3,Right,79580.191322,103,79580.1418795,125.072499999078,1.0692889374008487,0.02016912959516045,0.732547789812088,0.0202781818807125,0.7013550400733948,True,7,Right|7,NA1:NA1_baseline:002,3.0,79580.191322,Mid|2,Right|7 -> Mid|2,0.0,Right,Mid
3,Mid,79580.191322,103,79580.1418795,125.072499999078,1.0692889374008487,0.4468553960323334,0.3242274224758148,0.4468553960323334,0.3242274224758148,True,2,Mid|2,NA1:NA1_baseline:002,4.0,79580.291856,Right|7,Mid|2 -> Right|7,0.10053399999742396,Mid,Right
4,Right,79580.291856,106,79580.27098649999,185.59199999435805,1.3400923336727035,0.012171613750979275,0.7842378914356232,0.0101085733622312,0.6746028065681458,True,7,Right|7,NA1:NA1_baseline:002,4.0,79580.325367,Mid|5,Right|7 -> Mid|5,0.033511000001453795,Right,Mid
5,Mid,79580.828032,122,79580.81162349999,193.5595000104513,1.221929656695825,0.7253036797046661,0.2806236843268076,0.7933194041252136,0.2895273268222809,True,3,Mid|3,NA1:NA1_baseline:002,6.0,79581.431231,Left|4,Mid|3 -> Left|4,0.603198999990127,Mid,Left
6,Left,79581.431231,140,79581.42084800001,88.76149999559857,1.4076867881861868,0.0426815375685691,0.3695095777511596,0.0426815375685691,0.3695095777511596,True,4,Left|4,NA1:NA1_baseline:002,8.0,79584.112115,Right|4,Left|4 -> Right|4,2.6808840000012424,Left,Right
8,Right,79584.112115,220,79584.1159615,217.8684999817051,1.41974082254011,0.1715683080255985,0.46180231869220734,0.1932477355003357,0.4432505071163177,True,4,Right|4,NA1:NA1_baseline:002,8.0,79584.145626,Mid|2,Right|4 -> Mid|2,0.033511000001453795,Right,Mid
8,Mid,79584.145626,221,79584.1159615,217.8684999817051,1.41974082254011,0.4516932964324951,0.2063464671373367,0.4516932964324951,0.2063464671373367,True,2,Mid|2,NA1:NA1_baseline:002,9.0,79584.346693,Right|4,Mid|2 -> Right|4,0.20106700000178535,Mid,Right
9,Right,79584.346693,227,79584.3378645,133.14200000604615,1.4310659324624515,0.13816097006201739,0.41216016560792923,0.1299736052751541,0.4493788182735443,True,4,Right|4,NA1:NA1_baseline:002,9.0,79584.413715,Left|3,Right|4 -> Left|3,0.06702200000290759,Right,Left
9,Left,79584.413715,229,79584.3378645,133.14200000604615,1.4310659324624515,0.7673910856246948,0.0418999679386615,0.7673910856246948,0.0418999679386615,True,3,Left|3,NA1:NA1_baseline:002,9.0,79584.447226,Mid|8,Left|3 -> Mid|8,0.033511000001453795,Left,Mid
14,Mid,79585.988734,276,79585.98801649999,217.86800000700168,1.3513176145847494,0.665476530790329,0.38270044326782227,0.6694191694259644,0.3428148329257965,True,5,Mid|5,NA1:NA1_baseline:002,15.0,79586.323845,Right|1,Mid|5 -> Right|1,0.3351110000076005,Mid,Right
15,Right,79586.323845,286,79586.322888,161.3845000101719,1.469243489761083,0.0059232733910903005,0.0023212890955619002,0.0020604243036359,0.003479222767055,True,1,Right|1,NA1:NA1_baseline:002,15.0,79586.357356,Left|2,Right|1 -> Left|2,0.03351099998690188,Right,Left
15,Left,79586.357356,287,79586.322888,161.3845000101719,1.469243489761083,0.4390364289283752,0.1824397891759872,0.4390364289283752,0.1824397891759872,True,2,Left|2,NA1:NA1_baseline:002,15.0,79586.424378,Mid|7,Left|2 -> Mid|7,0.06702200000290759,Left,Mid
19,Mid,79587.195132,312,79587.19436200001,145.2454999962356,1.4732642341171531,0.45881788730621337,0.5007940411567688,0.5102414488792419,0.4479009211063385,True,5,Mid|5,NA1:NA1_baseline:002,19.0,79587.329176,Right|8,Mid|5 -> Right|8,0.13404400000581518,Mid,Right
19,Right,79587.329176,316,79587.19436200001,145.2454999962356,1.4732642341171531,0.6003515720367432,0.8090965151786804,0.6003515720367432,0.8090965151786804,True,8,Right|8,NA1:NA1_baseline:002,20.0,79587.46322,Mid|7,Right|8 -> Mid|7,0.13404400000581518,Right,Mid
22,Mid,79588.803289,360,79588.81627149999,88.76100000634324,1.4652499835953818,0.5049166157841682,0.38558613508939743,0.5041440725326538,0.3649705648422241,True,5,Mid|5,NA1:NA1_baseline:002,23.0,79589.071377,Dashboard|2,Mid|5 -> Dashboard|2,0.26808799999707844,Mid,Dashboard
24,Dashboard,79589.238932,373,79589.24393950001,96.82999999495225,1.4883717179492,0.11993759870529169,0.17695189639925954,0.1283988952636718,0.1735441982746124,True,1,Dashboard|1,NA1:NA1_baseline:002,25.0,79589.674575,Mid|5,Dashboard|1 -> Mid|5,0.4356430000043474,Dashboard,Mid
27,Mid,79590.780439,419,79590.76094949999,157.3495000047842,1.201960307952622,0.7074134111404419,0.23934299647808072,0.7016510963439941,0.2612318396568298,True,3,Mid|3,NA1:NA1_baseline:002,27.0,79590.81395,Left|2,Mid|3 -> Left|2,0.033511000001453795,Mid,Left
