fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,session_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
1,Left,80595.9786,43,80595.99043,96.8309999880148,0.9182907524363548,0.14920000731945032,0.6564624607563019,0.084337294101715,0.6934574246406555,True,4.0,Left|4,NA1:NA1_delay1:001,1.0,80595.9786,Dashboard|3,Left|4 -> Dashboard|3,0.0,Left,Dashboard
1,Dashboard,80595.9786,43,80595.99043,96.8309999880148,0.9182907524363548,0.6679749935865402,0.28710900619626045,0.6597226858139038,0.328256756067276,True,3.0,Dashboard|3,NA1:NA1_delay1:001,3.0,80596.782865,Left|6,Dashboard|3 -> Left|6,0.8042649999988498,Dashboard,Left
3,Left,80596.782865,67,80596.764499,125.072499999078,1.3936262712332306,0.8146738409996033,0.5467100143432617,0.8146738409996033,0.5467100143432617,True,6.0,Left|6,NA1:NA1_delay1:001,5.0,80597.453086,Dashboard|2,Left|6 -> Dashboard|2,0.6702209999930346,Left,Dashboard
5,Dashboard,80597.453086,87,80597.450381,117.00349999591708,1.4441573805195675,0.6462660431861877,0.3103475719690323,0.642433226108551,0.3321173787117004,True,2.0,Dashboard|2,NA1:NA1_delay1:001,5.0,80597.553619,Left|7,Dashboard|2 -> Left|7,0.10053300000436138,Dashboard,Left
5,Left,80597.553619,90,80597.450381,117.00349999591708,1.4441573805195675,0.0612840950489044,0.6991280317306519,0.0612840950489044,0.6991280317306519,True,7.0,Left|7,NA1:NA1_delay1:001,6.0,80597.58713,Dashboard|5,Left|7 -> Dashboard|5,0.033511000001453795,Left,Dashboard
7,Dashboard,80597.788197,97,80597.7933225,117.00300000666176,1.1771736445485677,0.6578048944473267,0.4363164186477661,0.6470988392829895,0.4475600123405456,True,5.0,Dashboard|5,NA1:NA1_delay1:001,7.0,80597.922241,Left|5,Dashboard|5 -> Left|5,0.13404399999126326,Dashboard,Left
8,Left,80597.922241,101,80597.9143605,185.59150000510272,1.4843243486163182,0.4849332869052887,0.2806983590126037,0.4849332869052887,0.2806983590126037,True,2.0,Left|2,NA1:NA1_delay1:001,8.0,80597.922241,Dashboard|5,Left|2 -> Dashboard|5,0.0,Left,Dashboard
10,Dashboard,80598.290862,112,80598.3057165,96.83100000256673,0.4340746668972274,0.6308925151824951,0.8481387346982956,0.6157961487770081,0.8121496438980103,True,8.0,Dashboard|8,NA1:NA1_delay1:001,10.0,80598.391396,Mid|2,Dashboard|8 -> Mid|2,0.10053400001197588,Dashboard,Mid
10,Mid,80598.391396,115,80598.3057165,96.83100000256673,0.4340746668972274,0.5412675142288208,0.0138271618634462,0.5412675142288208,0.0138271618634462,True,2.0,Mid|2,NA1:NA1_delay1:001,11.0,80598.692995,Dashboard|5,Mid|2 -> Dashboard|5,0.30159899999853224,Mid,Dashboard
11,Dashboard,80598.692995,124,80598.7011075,217.868499996257,1.242783658792125,0.5830534622073174,0.5064812041819096,0.5851521492004395,0.5596964955329895,True,5.0,Dashboard|5,NA1:NA1_delay1:001,11.0,80598.692995,Left|4,Dashboard|5 -> Left|4,0.0,Dashboard,Left
11,Left,80598.692995,124,80598.7011075,217.868499996257,1.242783658792125,0.0397717431187629,0.5564680695533752,0.0397717431187629,0.5564680695533752,True,4.0,Left|4,NA1:NA1_delay1:001,13.0,80601.340369,Mid|6,Left|4 -> Mid|6,2.647373999992851,Left,Mid
13,Mid,80601.340369,203,80601.35587500001,129.10699998610653,1.323434341842677,0.7128812193870544,0.3864927589893341,0.7101163268089294,0.3670845627784729,True,6.0,Mid|6,NA1:NA1_delay1:001,14.0,80601.541435,Right|7,Mid|6 -> Right|7,0.20106600000872277,Mid,Right
14,Right,80601.541435,209,80601.5455015,217.86799999244977,1.4783637448163265,0.030285628628916986,0.9228368774056435,0.009011504240334,0.916557252407074,True,7.0,Right|7,NA1:NA1_delay1:001,15.0,80602.714322,Left|7,Right|7 -> Left|7,1.1728869999933522,Right,Left
17,Left,80603.149966,257,80603.1391685,125.072499999078,1.457385627336112,0.589884877204895,0.8029153347015381,0.589884877204895,0.8029153347015381,True,8.0,Left|8,NA1:NA1_delay1:001,19.0,80604.85903,Mid|2,Left|8 -> Mid|2,1.7090640000096755,Left,Mid
19,Mid,80604.85903,308,80604.8659775,96.83100000256673,1.3195144110977075,0.6244796216487885,0.13479119352996344,0.6234019994735718,0.104657344520092,True,2.0,Mid|2,NA1:NA1_delay1:001,19.0,80604.892541,Left|1,Mid|2 -> Left|1,0.03351099998690188,Mid,Left
19,Left,80604.892541,309,80604.8659775,96.83100000256673,1.3195144110977075,0.17981170583516354,0.10202348232269279,0.0234765503555536,0.1175435930490493,True,1.0,Left|1,NA1:NA1_delay1:001,20.0,80605.060096,Dashboard|4,Left|1 -> Dashboard|4,0.16755500000726897,Left,Dashboard
20,Dashboard,80605.060096,314,80605.067708,137.1765000076266,1.2979876270750372,0.05150175094604488,0.5964656829833984,0.0698805525898933,0.6055455207824707,True,4.0,Dashboard|4,NA1:NA1_delay1:001,22.0,80606.568093,Right|5,Dashboard|4 -> Right|5,1.5079969999933382,Dashboard,Right
23,Right,80606.668627,362,80606.65734050001,121.03799998294562,1.464850324560545,0.33833178132772446,0.39342336356639857,0.3484701812267303,0.4040119051933288,True,5.0,Right|5,NA1:NA1_delay1:001,23.0,80606.735649,Left|2,Right|5 -> Left|2,0.06702199998835567,Right,Left
24,Left,80606.76916,365,80606.7824135,96.83049999875948,0.9722896702917604,0.5471832305192947,0.018551296845544102,0.6297111511230469,0.0362145900726318,True,2.0,Left|2,NA1:NA1_delay1:001,24.0,80606.76916,Right|5,Left|2 -> Right|5,0.0,Left,Right
24,Right,80606.76916,365,80606.7824135,96.83049999875948,0.9722896702917604,0.38885830342769623,0.4691324234008789,0.3150693774223327,0.4150378406047821,True,5.0,Right|5,NA1:NA1_delay1:001,25.0,80607.003737,Mid|5,Right|5 -> Mid|5,0.23457700001017656,Right,Mid
26,Mid,80607.070759,374,80607.0769395,80.69200000318233,1.3142329635964656,0.6826593950390816,0.41067416220903397,0.2779923975467682,0.7573433518409729,True,6.0,Mid|6,NA1:NA1_delay1:001,25.0,80607.070759,Left|2,Mid|6 -> Left|2,0.0,Mid,Left
25,Left,80607.070759,374,80606.976074,84.72650000476278,1.4886654253795084,0.3712083995342254,0.0081087881699204,0.3712083995342254,0.0081087881699204,True,2.0,Left|2,NA1:NA1_delay1:001,27.0,80607.372359,Mid|5,Left|2 -> Mid|5,0.30160000000614673,Left,Mid
34,Mid,80609.148445,436,80609.15072450001,217.86799999244977,1.390447336891277,0.2834183871746063,0.8069146871566772,0.2834183871746063,0.8069146871566772,True,7.0,Mid|7,NA1:NA1_delay1:001,34.0,80609.148445,Right|4,Mid|7 -> Right|4,0.0,Mid,Right
37,Right,80609.95271,460,80609.9374715,217.86799999244977,1.347117255446623,0.042550628206559526,0.5514856917517525,0.0381557904183864,0.5441421270370483,True,4.0,Right|4,NA1:NA1_delay1:001,37.0,80610.019732,Mid|8,Right|4 -> Mid|8,0.06702200000290759,Right,Mid
37,Mid,80610.019732,462,80609.9374715,217.86799999244977,1.347117255446623,0.5296415090560913,0.7926093339920044,0.5296415090560913,0.7926093339920044,True,8.0,Mid|8,NA1:NA1_delay1:001,38.0,80610.354843,Left|3,Mid|8 -> Left|3,0.3351109999930486,Mid,Left
39,Left,80610.555909,478,80610.554765,161.38449999562,1.499918332818081,0.9150091409683228,0.4833613336086273,0.9229635000228882,0.4460168480873108,True,6.0,Left|6,NA1:NA1_delay1:001,40.0,80610.958042,Mid|6,Left|6 -> Mid|6,0.4021329999959562,Left,Mid
45,Mid,80614.007548,581,80614.0204875,92.79549999337178,1.3511942980018985,0.7852575480937958,0.16821018233895296,0.7722612023353577,0.1612964123487472,True,3.0,Mid|3,NA1:NA1_delay1:001,45.0,80614.07457,Left|1,Mid|3 -> Left|1,0.06702200000290759,Mid,Left
45,Left,80614.07457,583,80614.0204875,92.79549999337178,1.3511942980018985,0.3249400556087494,0.0817132070660591,0.3249400556087494,0.0817132070660591,True,1.0,Left|1,NA1:NA1_delay1:001,46.0,80614.275637,Mid|5,Left|1 -> Mid|5,0.20106700000178535,Left,Mid
52,Mid,80616.755455,663,80616.743843,80.69199998863041,1.4184814350542247,0.5341547131538391,0.3915473222732544,0.5257335305213928,0.3949633240699768,True,5.0,Mid|5,NA1:NA1_delay1:001,53.0,80616.956521,Dashboard|4,Mid|5 -> Dashboard|4,0.20106599999417085,Mid,Dashboard
54,Dashboard,80617.191099,676,80617.17554550001,181.55699998897035,1.3558526567708942,0.7081687053044637,0.3851487586895625,0.7070209980010986,0.3456820547580719,True,6.0,Dashboard|6,NA1:NA1_delay1:001,54.0,80617.22461,Right|4,Dashboard|6 -> Right|4,0.033511000001453795,Dashboard,Right
54,Right,80617.22461,677,80617.17554550001,181.55699998897035,1.3558526567708942,0.3242198526859283,0.366452157497406,0.3242198526859283,0.366452157497406,True,4.0,Right|4,NA1:NA1_delay1:001,55.0,80617.425676,Mid|5,Right|4 -> Mid|5,0.20106599999417085,Right,Mid
66,Mid,80620.140072,764,80620.132908,149.27999999781605,0.9480963476461048,0.5819222092628479,0.4235387623310089,0.5816535353660583,0.4312733709812164,True,5.0,Mid|5,NA1:NA1_delay1:001,67.0,80620.341138,Dashboard|6,Mid|5 -> Dashboard|6,0.20106600000872277,Mid,Dashboard
69,Dashboard,80620.709759,781,80620.7017865,125.072499999078,1.3368710103349128,0.8313523232936859,0.5137986987829208,0.8301016092300415,0.524280846118927,True,6.0,Dashboard|6,NA1:NA1_delay1:001,69.0,80620.709759,Left|4,Dashboard|6 -> Left|4,0.0,Dashboard,Left
68,Left,80620.709759,781,80620.479884,217.86800000700168,1.233340304833523,0.2303579002618789,0.4874959290027618,0.2303579002618789,0.4874959290027618,True,4.0,Left|4,NA1:NA1_delay1:001,70.0,80620.944337,Mid|5,Left|4 -> Mid|5,0.23457799998868722,Left,Mid
73,Mid,80621.614558,808,80621.6257105,201.7300000006799,0.856420358257814,0.5502992442675999,0.5060615880148751,0.5545610189437866,0.5057373046875,True,5.0,Mid|5,NA1:NA1_delay1:001,74.0,80621.916158,Dashboard|5,Mid|5 -> Dashboard|5,0.30160000000614673,Mid,Dashboard
74,Dashboard,80621.916158,817,80621.9081325,217.868499996257,1.3745523688056858,0.35992935725620817,0.40635446991239277,0.3620051443576813,0.4108551740646362,True,5.0,Dashboard|5,NA1:NA1_delay1:001,74.0,80622.016691,Left|5,Dashboard|5 -> Left|5,0.10053299998980947,Dashboard,Left
74,Left,80622.016691,820,80621.9081325,217.868499996257,1.3745523688056858,0.4108811020851135,0.5557031035423279,0.4108811020851135,0.5557031035423279,True,5.0,Left|5,NA1:NA1_delay1:001,75.0,80622.117224,Dashboard|5,Left|5 -> Dashboard|5,0.10053300000436138,Left,Dashboard
76,Dashboard,80622.351801,830,80622.3519385,217.868499996257,0.6893824321660601,0.34455473348498344,0.43973932415246964,0.3430274426937103,0.4551986455917358,True,5.0,Dashboard|5,NA1:NA1_delay1:001,76.0,80622.418823,Left|7,Dashboard|5 -> Left|7,0.06702200000290759,Dashboard,Left
76,Left,80622.418823,832,80622.3519385,217.868499996257,0.6893824321660601,0.0272306278347969,0.7942236661911011,0.0272306278347969,0.7942236661911011,True,7.0,Left|7,NA1:NA1_delay1:001,77.0,80622.586379,Dashboard|5,Left|7 -> Dashboard|5,0.16755600000033155,Left,Dashboard
77,Dashboard,80622.586379,837,80622.5738415,201.7300000006799,1.0198100564661603,0.3341936298779079,0.4590473430497305,0.3343971371650696,0.4589071869850158,True,5.0,Dashboard|5,NA1:NA1_delay1:001,77.0,80622.686912,Mid|4,Dashboard|5 -> Mid|4,0.10053300000436138,Dashboard,Mid
81,Mid,80623.457666,863,80623.457419,217.868499996257,0.676880281518521,0.5200589724949428,0.4520131605012076,0.5196483731269836,0.4601681232452392,True,5.0,Mid|5,NA1:NA1_delay1:001,81.0,80623.625221,Right|2,Mid|5 -> Right|2,0.16755499999271706,Mid,Right
81,Right,80623.625221,868,80623.457419,217.868499996257,0.676880281518521,0.3914339244365692,0.1581660509109497,0.3914339244365692,0.1581660509109497,True,2.0,Right|2,NA1:NA1_delay1:001,82.0,80623.692244,Mid|5,Right|2 -> Mid|5,0.06702300001052208,Right,Mid
99,Mid,80627.546015,985,80627.5525395,217.86800000700168,0.9766286449706394,0.520714059472084,0.47458379715681076,0.5188636183738708,0.4793287217617035,True,5.0,Mid|5,NA1:NA1_delay1:001,99.0,80627.613037,Left|3,Mid|5 -> Left|3,0.06702200000290759,Mid,Left
