fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
0,Mid,8299.551514,0,8299.478760000002,112.9689999979746,0.6036454378857669,0.45654137432575226,0.430704802274704,0.4699202477931976,0.4224581718444824,True,5,Mid|5,1.0,8299.618536,Left|2,Mid|5 -> Left|2,0.06702199999926961,Mid,Left
1,Left,8299.618536,2,8299.632075000001,112.9689999979746,1.448693790182047,0.5905435085296631,0.2975060045719147,0.5905435085296631,0.2975060045719147,True,2,Left|2,1.0,8299.618536,Dashboard|5,Left|2 -> Dashboard|5,0.0,Left,Dashboard
1,Dashboard,8299.618536,2,8299.632075000001,112.9689999979746,1.448693790182047,0.4464714825153351,0.4804698586463928,0.4426001608371734,0.4784335196018219,True,5,Dashboard|5,2.0,8299.819602,Left|7,Dashboard|5 -> Left|7,0.20106599999962782,Dashboard,Left
2,Left,8299.819602,8,8299.821702000001,165.41899999720044,1.3882749968128392,0.0423177927732467,0.9048866033554076,0.0423177927732467,0.9048866033554076,True,7,Left|7,2.0,8299.819602,Dashboard|4,Left|7 -> Dashboard|4,0.0,Left,Dashboard
2,Dashboard,8299.819602,8,8299.821702000001,165.41899999720044,1.3882749968128392,0.23280674467484153,0.37018244961897534,0.2339889109134674,0.4109910428524017,True,4,Dashboard|4,8.0,8301.126533,Left|6,Dashboard|4 -> Left|6,1.3069310000009864,Dashboard,Left
10,Left,8301.461644,57,8301.338714000001,217.868499999895,1.0744557054389592,0.6716988682746887,0.953197419643402,0.6716988682746887,0.953197419643402,True,9,Left|9,11.0,8302.332931,Mid|5,Left|9 -> Mid|5,0.8712869999999384,Left,Mid
38,Mid,8308.264386,260,8308.262098,217.868499999895,0.2226533178787595,0.4128374031611851,0.4710383883544377,0.4730350375175476,0.4632761478424072,True,5,Mid|5,38.0,8308.398431,Left|8,Mid|5 -> Left|8,0.13404499999887776,Mid,Left
38,Left,8308.398431,264,8308.262098,217.868499999895,0.2226533178787595,0.481084942817688,0.7951779365539551,0.481084942817688,0.7951779365539551,True,8,Left|8,39.0,8308.498964,Mid|5,Left|8 -> Mid|5,0.1005330000007234,Left,Mid
45,Mid,8309.738873,304,8309.7555005,137.17600000018138,1.3798230052540628,0.44960661232471466,0.4418218582868576,0.4714762270450592,0.4289641380310058,True,5,Mid|5,45.0,8309.772384,Left|9,Mid|5 -> Left|9,0.033510999999634805,Mid,Left
45,Left,8309.772384,305,8309.7555005,137.17600000018138,1.3798230052540628,0.7369601726531982,0.754004955291748,0.7369601726531982,0.754004955291748,True,9,Left|9,46.0,8309.906428,Mid|5,Left|9 -> Mid|5,0.1340440000003582,Left,Mid
